Station Id,Today Gen Power,Total Gen Power,Created At
108029,0,0,2021-01-10
106907,0,0,2021-01-10
75608,0,0,2021-01-10
82647,25.83,757.8,2021-01-10
84351,0,0,2021-01-11
84328,0,0,2021-01-11
108029,0,0,2021-01-11
106907,0,0,2021-01-11
90672,0,0,2021-01-11
75608,0,0,2021-01-11
82647,28.59,773.27,2021-01-11
84351,0,0,2021-01-12
75608,0,0,2021-01-12
106907,0,0,2021-01-12
84328,0,0,2021-01-12
108029,0,0,2021-01-12
90672,0,0,2021-01-12
82647,22.32,772.02,2021-01-12
75608,0,0,2021-01-13
84328,0,0,2021-01-13
108029,0,0,2021-01-13
84351,0,0,2021-01-13
106907,0,0,2021-01-13
90672,0,0,2021-01-13
82647,28.57,782.09,2021-01-13
75608,0,0,2021-01-14
84351,0,0,2021-01-14
84328,0,0,2021-01-14
90672,0,0,2021-01-14
108029,0,0,2021-01-14
106907,0,0,2021-01-14
82647,19.99,795.59,2021-01-14
75608,0,0,2021-01-15
84328,0,0,2021-01-15
106907,0,0,2021-01-15
82647,15.31,800.28,2021-01-15
84351,0,0,2021-01-15
108029,0,0,2021-01-15
90672,0,0,2021-01-15
84351,0,0,2021-01-16
90672,0,0,2021-01-16
106907,0,0,2021-01-16
84328,0,0,2021-01-16
108029,0,0,2021-01-16
75608,0,0,2021-01-16
82647,11.97,772.84,2021-01-16
90672,0,0,2021-01-17
75608,0,0,2021-01-17
106907,0,0,2021-01-17
84351,0,0,2021-01-17
84328,0,0,2021-01-17
82647,9.62,744.64,2021-01-17
108029,0,0,2021-01-17
75608,0,0,2021-01-18
106907,0,0,2021-01-18
108029,0,0,2021-01-18
82647,19.23,725.03,2021-01-18
84351,0,0,2021-01-18
90672,0,0,2021-01-18
84328,0,0,2021-01-18
90672,0,0,2021-01-19
108029,0,0,2021-01-19
75608,0,0,2021-01-19
106907,0,0,2021-01-19
84351,0,0,2021-01-19
82647,18.36,713.95,2021-01-19
84328,0,0,2021-01-19
84351,0,0,2021-01-20
75608,0,0,2021-01-20
106907,0,0,2021-01-20
108029,0,0,2021-01-20
90672,0,0,2021-01-20
84328,0,0,2021-01-20
82647,23.62,708.08,2021-01-20
84351,0,0,2021-01-21
75608,0,0,2021-01-21
90672,0,0,2021-01-21
82647,27.24,708.31,2021-01-21
84328,0,0,2021-01-21
108029,0,0,2021-01-21
106907,0,0,2021-01-21
84328,0,0,2021-01-22
106907,0,0,2021-01-22
90672,0,0,2021-01-22
75608,0,0,2021-01-22
84351,0,0,2021-01-22
82647,22.59,702.53,2021-01-22
108029,0,0,2021-01-22
84351,0,0,2021-01-23
75608,0,0,2021-01-23
106907,0,0,2021-01-23
108029,0,0,2021-01-23
90672,0,0,2021-01-23
84328,0,0,2021-01-23
82647,33.2,704.49,2021-01-23
106907,0,0,2021-01-24
90672,0,0,2021-01-24
84328,0,0,2021-01-24
84351,0,0,2021-01-24
108029,0,0,2021-01-24
82647,22.54,697.36,2021-01-24
75608,0,0,2021-01-24
106907,0,0,2021-01-25
75608,0,0,2021-01-25
108029,0,0,2021-01-25
90672,0,0,2021-01-25
84351,0,0,2021-01-25
84328,0,0,2021-01-25
82647,13.71,678.4,2021-01-25
106907,0,0,2021-01-26
75608,0,0,2021-01-26
90672,0,0,2021-01-26
108029,0,0,2021-01-26
82647,16.37,663.04,2021-01-26
84328,0,0,2021-01-26
84351,0,0,2021-01-26
75608,0,0,2021-01-27
90672,0,0,2021-01-27
106907,0,0,2021-01-27
84351,0,0,2021-01-27
84328,0,0,2021-01-27
108029,0,0,2021-01-27
82647,22.45,658.71,2021-01-27
106907,0,0,2021-01-28
108029,0,0,2021-01-28
84351,0,0,2021-01-28
84328,0,0,2021-01-28
75608,0,0,2021-01-28
82647,28.01,663.39,2021-01-28
90672,0,0,2021-01-28
90672,0,0,2021-01-29
106907,0,0,2021-01-29
108029,0,0,2021-01-29
84351,0,0,2021-01-29
84328,0,0,2021-01-29
82647,20.82,662.52,2021-01-29
75608,0,0,2021-01-29
108029,0,0,2021-01-30
106907,0,0,2021-01-30
84328,0,0,2021-01-30
84351,0,0,2021-01-30
75608,8.21,8.21,2021-01-30
90672,0,0,2021-01-30
82647,25.23,663.17,2021-01-30
75608,12.79,21,2021-01-31
106907,0,0,2021-01-31
84351,0,0,2021-01-31
90672,0,0,2021-01-31
108029,0,0,2021-01-31
84328,0,0,2021-01-31
82647,34.24,670.69,2021-01-31
82647,35.6,679.33,2021-02-01
106907,0,0,2021-02-01
75608,13.63,34.63,2021-02-01
84328,0,0,2021-02-01
84351,0,0,2021-02-01
108029,0,0,2021-02-01
90672,0,0,2021-02-01
106907,0,0,2021-02-02
84351,0,0,2021-02-02
90672,0,0,2021-02-02
75608,12.7,47.33,2021-02-02
84328,0,0,2021-02-02
82647,33.42,690.45,2021-02-02
108029,0,0,2021-02-02
108029,0,0,2021-02-03
90672,0,0,2021-02-03
106907,0,0,2021-02-03
84328,0,0,2021-02-03
75608,11.27,58.6,2021-02-03
84351,0,0,2021-02-03
82647,34.9,699.87,2021-02-03
75608,11.06,69.66,2021-02-04
90672,0,0,2021-02-04
106907,0,0,2021-02-04
84351,0,0,2021-02-04
84328,0,0,2021-02-04
108029,0,0,2021-02-04
82647,33,724.44,2021-02-04
106907,0,0,2021-02-05
108029,0,0,2021-02-05
90672,0,0,2021-02-05
84351,0,0,2021-02-05
84328,0,0,2021-02-05
82647,23.11,725.1,2021-02-05
75608,3.08,72.74,2021-02-05
132948,0,0,2021-02-05
75608,12.77,85.51,2021-02-06
84351,0,0,2021-02-06
108029,0,0,2021-02-06
82647,35.58,729.42,2021-02-06
132948,0,0,2021-02-06
90672,0,0,2021-02-06
84328,0,0,2021-02-06
106907,0,0,2021-02-06
108029,0,0,2021-02-07
75608,15.43,100.94,2021-02-07
84351,0,0,2021-02-07
132948,0,0,2021-02-07
84328,0,0,2021-02-07
90672,0,0,2021-02-07
82647,42.77,745.35,2021-02-07
106907,0,0,2021-02-07
132948,0,0,2021-02-08
108029,0,0,2021-02-08
90672,0,0,2021-02-08
84351,0,0,2021-02-08
106907,0,0,2021-02-08
82647,33.16,762.99,2021-02-08
84328,0,0,2021-02-08
75608,13.54,114.48,2021-02-08
90672,0,0,2021-02-09
132948,0,0,2021-02-09
108029,0,0,2021-02-09
84351,0,0,2021-02-09
106907,0,0,2021-02-09
84328,0,0,2021-02-09
75608,11.25,125.73,2021-02-09
82647,36.56,773.72,2021-02-09
106907,0,0,2021-02-10
108029,0,0,2021-02-10
84328,0,0,2021-02-10
132948,0,0,2021-02-10
84351,0,0,2021-02-10
90672,0,0,2021-02-10
75608,9.72,135.45,2021-02-10
82647,35.47,780.6,2021-02-10
84351,0,0,2021-02-11
106907,0,0,2021-02-11
90672,0,0,2021-02-11
108029,0,0,2021-02-11
82647,33.97,792.25,2021-02-11
75608,12.96,148.41,2021-02-11
84328,0,0,2021-02-11
132948,0,0,2021-02-11
84328,0,0,2021-02-12
84351,0,0,2021-02-12
75608,11.54,159.95,2021-02-12
106907,0,0,2021-02-12
90672,0,0,2021-02-12
132948,0,0,2021-02-12
108029,0,0,2021-02-12
82647,26.51,790.19,2021-02-12
106907,0,0,2021-02-13
84351,0,0,2021-02-13
75608,11.95,171.9,2021-02-13
132948,0,0,2021-02-13
108029,0,0,2021-02-13
84328,0,0,2021-02-13
82647,35.34,805.54,2021-02-13
90672,0,0,2021-02-13
84328,0,0,2021-02-14
75608,13.4,185.3,2021-02-14
84351,0,0,2021-02-14
90672,0,0,2021-02-14
132948,0,0,2021-02-14
82647,37.06,827.29,2021-02-14
108029,0,0,2021-02-14
106907,0,0,2021-02-14
108029,0,0,2021-02-15
132948,0,0,2021-02-15
84351,0,0,2021-02-15
75608,13.67,198.97,2021-02-15
90672,0,0,2021-02-15
82647,38.04,853.36,2021-02-15
106907,0,0,2021-02-15
84328,0,0,2021-02-15
132948,0,0,2021-02-16
75608,7.58,206.55,2021-02-16
108029,0,0,2021-02-16
84351,0,0,2021-02-16
84328,0,0,2021-02-16
90672,0,0,2021-02-16
106907,0,0,2021-02-16
82647,26.03,869.77,2021-02-16
90672,0,0,2021-02-17
132948,0,0,2021-02-17
75608,13.21,219.76,2021-02-17
84351,0,0,2021-02-17
84328,0,0,2021-02-17
82647,36.29,886.83,2021-02-17
108029,0,0,2021-02-17
106907,0,0,2021-02-17
106907,0,0,2021-02-18
84328,0,0,2021-02-18
84351,0,0,2021-02-18
108029,0,0,2021-02-18
90672,0,0,2021-02-18
132948,0,0,2021-02-18
75608,13.23,232.99,2021-02-18
82647,39.48,907.95,2021-02-18
90672,0,0,2021-02-19
75608,9.69,242.68,2021-02-19
84351,0,0,2021-02-19
84328,0,0,2021-02-19
132948,0,0,2021-02-19
106907,0,0,2021-02-19
82647,35.02,919.35,2021-02-19
108029,0,0,2021-02-19
132948,0,0,2021-02-20
108029,0,0,2021-02-20
90672,0,0,2021-02-20
84351,0,0,2021-02-20
75608,9.89,252.57,2021-02-20
84328,0,0,2021-02-20
106907,0,0,2021-02-20
82647,31.21,921.68,2021-02-20
84328,0,0,2021-02-21
132948,0,0,2021-02-21
84351,0,0,2021-02-21
75608,11.96,264.53,2021-02-21
106907,0,0,2021-02-21
108029,0,0,2021-02-21
90672,0,0,2021-02-21
82647,31.55,930.64,2021-02-21
90672,0,0,2021-02-22
84328,0,0,2021-02-22
108029,0,0,2021-02-22
75608,10.77,275.3,2021-02-22
132948,0,0,2021-02-22
106907,0,0,2021-02-22
84351,0,0,2021-02-22
82647,36.25,933.69,2021-02-22
106907,0,0,2021-02-23
75608,12.39,287.69,2021-02-23
108029,0,0,2021-02-23
132948,0,0,2021-02-23
84351,0,0,2021-02-23
84328,0,0,2021-02-23
90672,0,0,2021-02-23
82647,35.18,946.33,2021-02-23
84351,0,0,2021-02-24
108029,0,0,2021-02-24
90672,0,0,2021-02-24
106907,0,0,2021-02-24
84328,0,0,2021-02-24
132948,0,0,2021-02-24
75608,13.22,300.91,2021-02-24
82647,39.36,971.98,2021-02-24
132948,0,0,2021-02-25
90672,0,0,2021-02-25
106907,0,0,2021-02-25
84328,0,0,2021-02-25
108029,0,0,2021-02-25
84351,0,0,2021-02-25
75608,13.08,313.99,2021-02-25
82647,39.69,995.3,2021-02-25
106907,0,0,2021-02-26
108029,0,0,2021-02-26
90672,0,0,2021-02-26
132948,0,0,2021-02-26
84351,0,0,2021-02-26
84328,0,0,2021-02-26
75608,14.03,328.02,2021-02-26
82647,41.88,1014.73,2021-02-26
84328,0,0,2021-02-27
90672,0,0,2021-02-27
