366,LS305GI,5000,7150,325,11,2,22,9.13,18.26,415.8,508.2,,,,,,,grid
367,LS305GI,5000,2010,335,6,1,6,9.35,9.35,229.8,279,,,,,,,grid
368,LS305GI,5000,4020,335,6,2,12,9.35,18.7,229.8,279,,,,,,,grid
369,LS305GI,5000,2345,335,7,1,7,9.35,9.35,268.1,325.5,,,,,,,grid
370,LS305GI,5000,4690,335,7,2,14,9.35,18.7,268.1,325.5,,,,,,,grid
371,LS305GI,5000,2680,335,8,1,8,9.35,9.35,306.4,372,,,,,,,grid
372,LS305GI,5000,5360,335,8,2,16,9.35,18.7,306.4,372,,,,,,,grid
373,LS305GI,5000,3015,335,9,1,9,9.35,9.35,344.7,418.5,,,,,,,grid
374,LS305GI,5000,6030,335,9,2,18,9.35,18.7,344.7,418.5,,,,,,,grid
375,LS305GI,5000,3350,335,10,1,10,9.35,9.35,383,465,,,,,,,grid
376,LS305GI,5000,6700,335,10,2,20,9.35,18.7,383,465,,,,,,,grid
377,LS305GI,5000,3685,335,11,1,11,9.35,9.35,421.3,511.5,,,,,,,grid
378,LS305GI,5000,7370,335,11,2,22,9.35,18.7,421.3,511.5,,,,,,,grid
379,LS305GI,5000,2400,400,6,1,6,10.31,10.31,247.2,298.74,,,,,,,grid
380,LS305GI,5000,4800,400,6,2,12,10.31,20.62,247.2,298.74,,,,,,,grid
381,LS305GI,5000,2800,400,7,1,7,10.31,10.31,288.4,348.53,,,,,,,grid
382,LS305GI,5000,5600,400,7,2,14,10.31,20.62,288.4,348.53,,,,,,,grid
383,LS305GI,5000,3200,400,8,1,8,10.31,10.31,329.6,398.32,,,,,,,grid
384,LS305GI,5000,6400,400,8,2,16,10.31,20.62,329.6,398.32,,,,,,,grid
385,LS305GI,5000,3600,400,9,1,9,10.31,10.31,370.8,448.11,,,,,,,grid
386,LS305GI,5000,7200,400,9,2,18,10.31,20.62,370.8,448.11,,,,,,,grid
387,LS305GI,5000,4000,400,10,1,10,10.31,10.31,412,497.9,,,,,,,grid
388,LS305GI,5000,4400,400,11,1,11,10.31,10.31,453.2,547.69,,,,,,,grid
389,LS308GI,8000,3250,325,10,1,10,9.13,9.13,378,462,380,850,960,,,,grid
390,LS308GI,8000,6500,325,10,2,20,9.13,18.26,378,462,,,,,,,grid
391,LS308GI,8000,3575,325,11,1,11,9.13,9.13,415.8,508.2,,,,,,,grid
392,LS308GI,8000,7150,325,11,2,22,9.13,18.26,415.8,508.2,,,,,,,grid
393,LS308GI,8000,3900,325,12,1,12,9.13,9.13,453.6,554.4,,,,,,,grid
394,LS308GI,8000,7800,325,12,2,24,9.13,18.26,453.6,554.4,,,,,,,grid
395,LS308GI,8000,4225,325,13,1,13,9.13,9.13,491.4,600.6,,,,,,,grid
396,LS308GI,8000,8450,325,13,2,26,9.13,18.26,491.4,600.6,,,,,,,grid
397,LS308GI,8000,4550,325,14,1,14,9.13,9.13,529.2,646.8,,,,,,,grid
398,LS308GI,8000,9100,325,14,2,28,9.13,18.26,529.2,646.8,,,,,,,grid
399,LS308GI,8000,4875,325,15,1,15,9.13,9.13,567,693,,,,,,,grid
400,LS308GI,8000,9750,325,15,2,30,9.13,18.26,567,693,,,,,,,grid
401,LS308GI,8000,5200,325,16,1,16,9.13,9.13,604.8,739.2,,,,,,,grid
402,LS308GI,8000,10400,325,16,2,32,9.13,18.26,604.8,739.2,,,,,,,grid
403,LS308GI,8000,5525,325,17,1,17,9.13,9.13,642.6,785.4,,,,,,,grid
404,LS308GI,8000,11050,325,17,2,34,9.13,18.26,642.6,785.4,,,,,,,grid
405,LS308GI,8000,5850,325,18,1,18,9.13,9.13,680.4,831.6,,,,,,,grid
406,LS308GI,8000,11700,325,18,2,36,9.13,18.26,680.4,831.6,,,,,,,grid
407,LS308GI,8000,3350,335,10,1,10,9.35,9.35,383,465,,,,,,,grid
408,LS308GI,8000,6700,335,10,2,20,9.35,18.7,383,465,,,,,,,grid
409,LS308GI,8000,3685,335,11,1,11,9.35,9.35,421.3,511.5,,,,,,,grid
410,LS308GI,8000,7370,335,11,2,22,9.35,18.7,421.3,511.5,,,,,,,grid
411,LS308GI,8000,4020,335,12,1,12,9.35,9.35,459.6,558,,,,,,,grid
412,LS308GI,8000,8040,335,12,2,24,9.35,18.7,459.6,558,,,,,,,grid
413,LS308GI,8000,4355,335,13,1,13,9.35,9.35,497.9,604.5,,,,,,,grid
414,LS308GI,8000,8710,335,13,2,26,9.35,18.7,497.9,604.5,,,,,,,grid
415,LS308GI,8000,4690,335,14,1,14,9.35,9.35,536.2,651,,,,,,,grid
416,LS308GI,8000,9380,335,14,2,28,9.35,18.7,536.2,651,,,,,,,grid
417,LS308GI,8000,5025,335,15,1,15,9.35,9.35,574.5,697.5,,,,,,,grid
418,LS308GI,8000,10050,335,15,2,30,9.35,18.7,574.5,697.5,,,,,,,grid
419,LS308GI,8000,5360,335,16,1,16,9.35,9.35,612.8,744,,,,,,,grid
420,LS308GI,8000,10720,335,16,2,32,9.35,18.7,612.8,744,,,,,,,grid
